pollutant,sensor_id,total_rows,missing_rows,known_invalid_rows,min_value,max_value,mean_value,missing_pct,known_invalid_pct,selection_status,selection_reason
PM10,S3,12070,2388,0,0.040915925,143.83576666666667,17.85763822681402,19.784589892294942,0.0,exclude,Missing percentage > 10%
PM10,S4,12070,2978,0,0.0279762,176.6998166666667,23.297809738652663,24.67274233637117,0.0,exclude,Missing percentage > 10%
PM10,S5,12070,13,0,0.034159175,258.21571666666665,18.90848903231332,0.1077050538525269,0.0,primary,Missing percentage <= 5%
PM10,S6,12070,7261,0,0.0347222499999999,103.11061666666669,12.72705565551986,60.15741507870754,0.0,exclude,Missing percentage > 10%
PM10,S7,12070,40,0,0.05461715,142.14583333333331,19.81807320976822,0.3314001657000828,0.0,primary,Missing percentage <= 5%
PM10,S9,12070,142,0,0.0384384599999999,146.42600000000002,20.184615542021437,1.1764705882352942,0.0,primary,Missing percentage <= 5%
PM2_5,S10,12070,28,0,0.0393651,129.37571666666668,18.629919544199883,0.231980116,0.0,primary,Missing percentage <= 5%
PM2_5,S11,12070,236,0,0.032157183,89.76658333333334,14.844556049552278,1.9552609776304888,0.0,primary,Missing percentage <= 5%
PM2_5,S12,12070,45,0,0.0277778,127.45366666666666,18.305727462486765,0.3728251864125932,0.0,primary,Missing percentage <= 5%
PM2_5,S13,12070,45,0,0.03453455,111.7225,15.032758014502702,0.3728251864125932,0.0,primary,Missing percentage <= 5%
PM2_5,S14,12070,50,0,0.0347222499999999,131.1795,18.577252334130616,0.4142502071251036,0.0,primary,Missing percentage <= 5%
PM2_5,S15,12070,1628,0,0.04823575,127.0313,19.247502378014428,13.487986743993371,0.0,exclude,Missing percentage > 10%
PM2_5,S16,12070,1253,0,0.0388889,146.1436666666667,18.808249988009152,10.381110190555097,0.0,exclude,Missing percentage > 10%
PM2_5,S18,12070,1569,0,0.0277778,136.70833333333334,16.949400251413834,12.99917149958575,0.0,exclude,Missing percentage > 10%
PM2_5,S19,12070,148,0,0.0275901,151.68983333333333,18.39786758053291,1.2261806130903066,0.0,primary,Missing percentage <= 5%
PM2_5,S2,12070,41,0,0.03303304,226.2476233333333,16.797055329691993,0.3396851698425849,0.0,primary,Missing percentage <= 5%
PM2_5,S20,12070,691,0,0.03453455,121.43021666666668,17.83811369,5.724937862468932,0.0,acceptable,Missing percentage > 5% and <= 10%
PM2_5,S3,12070,2411,0,0.03453455,128.34634999999997,15.41193344048849,19.97514498757249,0.0,exclude,Missing percentage > 10%
PM2_5,S4,12070,2993,0,0.0277778,141.28743333333333,20.222250588269983,24.7970174,0.0,exclude,Missing percentage > 10%
PM2_5,S5,12070,34,0,0.033971475,140.35541666666668,15.883075592728618,0.2816901408450704,0.0,primary,Missing percentage <= 5%
PM2_5,S6,12070,7274,0,0.0347222499999999,97.38556666666668,11.43651853,60.265120132560064,0.0,exclude,Missing percentage > 10%
PM2_5,S7,12070,48,0,0.03453455,129.65643333333333,17.295123717588865,0.3976801988400994,0.0,primary,Missing percentage <= 5%
PM2_5,S9,12070,162,0,0.0277778,140.4675,18.10022206113649,1.3421706710853356,0.0,primary,Missing percentage <= 5%
