dt_beg_utc,dt_end_utc,pollutant,sensor_id,segment_id,value_raw,value_sg
2023-05-09 11:00:00+00:00,2023-05-09 12:00:00+00:00,NO2,S12,3,10.475968333333332,7.397507230769235
2023-05-09 12:00:00+00:00,2023-05-09 13:00:00+00:00,NO2,S12,3,12.32865,8.702067280497307
2023-05-09 13:00:00+00:00,2023-05-09 14:00:00+00:00,NO2,S12,3,11.801233333333334,9.631486441336468
2023-05-09 14:00:00+00:00,2023-05-09 15:00:00+00:00,NO2,S12,3,12.398166666666668,9.058129580419607
2023-05-09 15:00:00+00:00,2023-05-09 16:00:00+00:00,NO2,S12,3,10.739628333333334,7.042801756021776
2023-05-09 16:00:00+00:00,2023-05-09 17:00:00+00:00,NO2,S12,3,10.767083333333332,7.039061845376863
2023-05-09 17:00:00+00:00,2023-05-09 18:00:00+00:00,NO2,S12,3,10.7593,8.22522328671331
2023-05-09 18:00:00+00:00,2023-05-09 19:00:00+00:00,NO2,S12,3,9.844508333333334,7.157784355089374
2023-05-09 19:00:00+00:00,2023-05-09 20:00:00+00:00,NO2,S12,3,9.313358333333332,5.697867369852385
2023-05-09 20:00:00+00:00,2023-05-09 21:00:00+00:00,NO2,S12,3,9.361558333333337,6.58575416083918
2023-05-09 21:00:00+00:00,2023-05-09 22:00:00+00:00,NO2,S12,3,10.428815,7.701577770007791
2023-05-09 22:00:00+00:00,2023-05-09 23:00:00+00:00,NO2,S12,3,10.268108333333334,6.800426340326359
2023-05-09 23:00:00+00:00,2023-05-10 00:00:00+00:00,NO2,S12,3,8.953206666666665,6.124427404817421
2023-05-10 00:00:00+00:00,2023-05-10 01:00:00+00:00,NO2,S12,3,9.063603333333331,6.466314735819753
2023-05-10 01:00:00+00:00,2023-05-10 02:00:00+00:00,NO2,S12,3,9.4092,6.847260252525272
2023-05-10 02:00:00+00:00,2023-05-10 03:00:00+00:00,NO2,S12,3,10.797893333333334,8.269101993007014
2023-05-10 03:00:00+00:00,2023-05-10 04:00:00+00:00,NO2,S12,3,13.397483333333334,12.021806651126685
2023-05-10 04:00:00+00:00,2023-05-10 05:00:00+00:00,NO2,S12,3,18.2611,13.989830396270435
2023-05-10 05:00:00+00:00,2023-05-10 06:00:00+00:00,NO2,S12,3,18.853483333333333,15.660579545454588
2023-05-10 06:00:00+00:00,2023-05-10 07:00:00+00:00,NO2,S12,3,14.919199999999998,11.3066084693085
2023-05-10 07:00:00+00:00,2023-05-10 08:00:00+00:00,NO2,S12,3,12.688849999999997,10.289323477078504
2023-05-10 08:00:00+00:00,2023-05-10 09:00:00+00:00,NO2,S12,3,11.710233333333331,8.251797451437472
2023-05-10 09:00:00+00:00,2023-05-10 10:00:00+00:00,NO2,S12,3,12.117233333333331,7.6669839355089575
2023-05-10 10:00:00+00:00,2023-05-10 11:00:00+00:00,NO2,S12,3,11.64695,9.06983122377625
2023-05-10 11:00:00+00:00,2023-05-10 12:00:00+00:00,NO2,S12,3,12.189183333333332,9.054688080808106
2023-05-10 12:00:00+00:00,2023-05-10 13:00:00+00:00,NO2,S12,3,12.399983333333331,9.0224366744367
2023-05-10 13:00:00+00:00,2023-05-10 14:00:00+00:00,NO2,S12,3,11.979283333333337,9.3393973737374
2023-05-10 14:00:00+00:00,2023-05-10 15:00:00+00:00,NO2,S12,3,11.94835,8.31102782828285
2023-05-10 15:00:00+00:00,2023-05-10 16:00:00+00:00,NO2,S12,3,12.687683333333334,8.59195521756024
2023-05-10 16:00:00+00:00,2023-05-10 17:00:00+00:00,NO2,S12,3,13.896066666666668,9.718894580419608
2023-05-10 17:00:00+00:00,2023-05-10 18:00:00+00:00,NO2,S12,3,12.4145,10.555963333333363
2023-05-10 18:00:00+00:00,2023-05-10 19:00:00+00:00,NO2,S12,3,10.96035,7.784236655011677
2023-05-10 19:00:00+00:00,2023-05-10 20:00:00+00:00,NO2,S12,3,10.752133333333331,7.263971363636384
2023-05-10 20:00:00+00:00,2023-05-10 21:00:00+00:00,NO2,S12,3,11.26495,9.336635345765373
2023-05-10 21:00:00+00:00,2023-05-10 22:00:00+00:00,NO2,S12,3,13.462483333333331,10.054814145299172
2023-05-10 22:00:00+00:00,2023-05-10 23:00:00+00:00,NO2,S12,3,13.349216666666663,10.103396899766926
2023-05-10 23:00:00+00:00,2023-05-11 00:00:00+00:00,NO2,S12,3,10.912483333333334,6.944911045066064
2023-05-11 00:00:00+00:00,2023-05-11 01:00:00+00:00,NO2,S12,3,10.078283333333331,7.2486817482517685
2023-05-11 01:00:00+00:00,2023-05-11 02:00:00+00:00,NO2,S12,3,9.274901666666668,6.608947237762257
2023-05-11 02:00:00+00:00,2023-05-11 03:00:00+00:00,NO2,S12,3,9.566575,6.735778302253322
2023-05-11 03:00:00+00:00,2023-05-11 04:00:00+00:00,NO2,S12,3,9.864786666666667,7.491204728049749
2023-05-11 04:00:00+00:00,2023-05-11 05:00:00+00:00,NO2,S12,3,12.1041,10.330840687645717
2023-05-11 05:00:00+00:00,2023-05-11 06:00:00+00:00,NO2,S12,3,14.656216666666666,10.92140125097128
2023-05-11 06:00:00+00:00,2023-05-11 07:00:00+00:00,NO2,S12,3,14.1062,9.91918915306918
2023-05-11 07:00:00+00:00,2023-05-11 08:00:00+00:00,NO2,S12,3,12.34285,8.043045707070728
2023-05-11 08:00:00+00:00,2023-05-11 09:00:00+00:00,NO2,S12,3,11.49895,7.211851282051302
2023-05-11 09:00:00+00:00,2023-05-11 10:00:00+00:00,NO2,S12,3,10.777936666666667,6.729909568764587
2023-05-11 10:00:00+00:00,2023-05-11 11:00:00+00:00,NO2,S12,3,10.761891666666664,7.489312237762258
2023-05-11 11:00:00+00:00,2023-05-11 12:00:00+00:00,NO2,S12,3,11.3369,8.507281689976715
