dt_beg_utc,dt_end_utc,pollutant,sensor_id,segment_id,value_raw,value_sg
2021-12-16 09:00:00+00:00,2021-12-16 10:00:00+00:00,PM2_5,S10,1,11.094433333333331,14.172526771561769
2021-12-16 10:00:00+00:00,2021-12-16 11:00:00+00:00,PM2_5,S10,1,14.296816666666668,14.810237132867133
2021-12-16 11:00:00+00:00,2021-12-16 12:00:00+00:00,PM2_5,S10,1,17.609116666666665,15.030918053613055
2021-12-16 12:00:00+00:00,2021-12-16 13:00:00+00:00,PM2_5,S10,1,17.986116666666664,14.834569533799536
2021-12-16 13:00:00+00:00,2021-12-16 14:00:00+00:00,PM2_5,S10,1,17.43215,14.221191573426577
2021-12-16 14:00:00+00:00,2021-12-16 15:00:00+00:00,PM2_5,S10,1,13.981486666666664,13.190784172494208
2021-12-16 15:00:00+00:00,2021-12-16 16:00:00+00:00,PM2_5,S10,1,7.453704999999999,10.292887637917666
2021-12-16 16:00:00+00:00,2021-12-16 17:00:00+00:00,PM2_5,S10,1,6.74074,7.379967824397843
2021-12-16 17:00:00+00:00,2021-12-16 18:00:00+00:00,PM2_5,S10,1,5.303551666666666,5.191436822066835
2021-12-16 18:00:00+00:00,2021-12-16 19:00:00+00:00,PM2_5,S10,1,5.555556666666667,4.959257645687658
2021-12-16 19:00:00+00:00,2021-12-16 20:00:00+00:00,PM2_5,S10,1,4.708333333333333,6.640613745143763
2021-12-16 20:00:00+00:00,2021-12-16 21:00:00+00:00,PM2_5,S10,1,7.75463,9.451094755244782
2021-12-16 21:00:00+00:00,2021-12-16 22:00:00+00:00,PM2_5,S10,1,11.819583333333334,12.62911675602179
2021-12-16 22:00:00+00:00,2021-12-16 23:00:00+00:00,PM2_5,S10,1,19.14205,15.797633069153113
2021-12-16 23:00:00+00:00,2021-12-17 00:00:00+00:00,PM2_5,S10,1,20.18558333333333,18.96042038850044
2021-12-17 00:00:00+00:00,2021-12-17 01:00:00+00:00,PM2_5,S10,1,20.94536666666667,21.187319782439843
2021-12-17 01:00:00+00:00,2021-12-17 02:00:00+00:00,PM2_5,S10,1,23.06905,22.315871336441397
2021-12-17 02:00:00+00:00,2021-12-17 03:00:00+00:00,PM2_5,S10,1,21.93835,23.27801569541576
2021-12-17 03:00:00+00:00,2021-12-17 04:00:00+00:00,PM2_5,S10,1,24.275383333333338,24.14395369075376
2021-12-17 04:00:00+00:00,2021-12-17 05:00:00+00:00,PM2_5,S10,1,22.347216666666668,25.345702525252598
2021-12-17 05:00:00+00:00,2021-12-17 06:00:00+00:00,PM2_5,S10,1,25.89748333333333,25.990575796425873
2021-12-17 06:00:00+00:00,2021-12-17 07:00:00+00:00,PM2_5,S10,1,28.763616666666667,26.085402533022606
2021-12-17 07:00:00+00:00,2021-12-17 08:00:00+00:00,PM2_5,S10,1,26.7685,24.683926247086315
2021-12-17 08:00:00+00:00,2021-12-17 09:00:00+00:00,PM2_5,S10,1,22.8361,21.860552296037355
2021-12-17 09:00:00+00:00,2021-12-17 10:00:00+00:00,PM2_5,S10,1,19.13213333333333,18.916741126651175
2021-12-17 10:00:00+00:00,2021-12-17 11:00:00+00:00,PM2_5,S10,1,15.725283333333335,16.13380699689204
2021-12-17 11:00:00+00:00,2021-12-17 12:00:00+00:00,PM2_5,S10,1,9.148146666666667,13.870762804972841
2021-12-17 12:00:00+00:00,2021-12-17 13:00:00+00:00,PM2_5,S10,1,11.684251666666666,13.573962397047433
2021-12-17 13:00:00+00:00,2021-12-17 14:00:00+00:00,PM2_5,S10,1,15.388899999999998,14.515829549339589
2021-12-17 14:00:00+00:00,2021-12-17 15:00:00+00:00,PM2_5,S10,1,18.10185,15.452568341103383
2021-12-17 15:00:00+00:00,2021-12-17 16:00:00+00:00,PM2_5,S10,1,16.111116666666664,16.04039450660455
2021-12-17 16:00:00+00:00,2021-12-17 17:00:00+00:00,PM2_5,S10,1,19.43545,16.491290912975956
2021-12-17 17:00:00+00:00,2021-12-17 18:00:00+00:00,PM2_5,S10,1,16.0926,15.889632804972848
2021-12-17 18:00:00+00:00,2021-12-17 19:00:00+00:00,PM2_5,S10,1,11.923283333333332,14.273151398601438
2021-12-17 19:00:00+00:00,2021-12-17 20:00:00+00:00,PM2_5,S10,1,12.384633333333332,13.750239549339586
2021-12-17 20:00:00+00:00,2021-12-17 21:00:00+00:00,PM2_5,S10,1,15.120366666666667,14.932907925407967
2021-12-17 21:00:00+00:00,2021-12-17 22:00:00+00:00,PM2_5,S10,1,15.71615,15.922794560994603
2021-12-17 22:00:00+00:00,2021-12-17 23:00:00+00:00,PM2_5,S10,1,14.9172,17.852274320124366
2021-12-17 23:00:00+00:00,2021-12-18 00:00:00+00:00,PM2_5,S10,1,23.83333333333333,20.105731662781718
2021-12-18 00:00:00+00:00,2021-12-18 01:00:00+00:00,PM2_5,S10,1,24.7,21.60678648018654
2021-12-18 01:00:00+00:00,2021-12-18 02:00:00+00:00,PM2_5,S10,1,20.164283333333334,22.92337334887341
2021-12-18 02:00:00+00:00,2021-12-18 03:00:00+00:00,PM2_5,S10,1,23.00316666666667,24.04689572649579
2021-12-18 03:00:00+00:00,2021-12-18 04:00:00+00:00,PM2_5,S10,1,25.16455,24.89354790209797
2021-12-18 04:00:00+00:00,2021-12-18 05:00:00+00:00,PM2_5,S10,1,24.5984,24.97601682206689
2021-12-18 05:00:00+00:00,2021-12-18 06:00:00+00:00,PM2_5,S10,1,26.43518333333333,26.30569464646472
2021-12-18 06:00:00+00:00,2021-12-18 07:00:00+00:00,PM2_5,S10,1,25.6147,26.738266375291445
2021-12-18 07:00:00+00:00,2021-12-18 08:00:00+00:00,PM2_5,S10,1,26.4221,25.107483142968213
2021-12-18 08:00:00+00:00,2021-12-18 09:00:00+00:00,PM2_5,S10,1,25.09261666666666,22.436995769230833
2021-12-18 09:00:00+00:00,2021-12-18 10:00:00+00:00,PM2_5,S10,1,22.31920000000001,18.864382521367574
2021-12-18 10:00:00+00:00,2021-12-18 11:00:00+00:00,PM2_5,S10,1,12.620371666666664,15.456118185703229
2021-12-18 11:00:00+00:00,2021-12-18 12:00:00+00:00,PM2_5,S10,1,10.046295,12.912740912975949
2021-12-18 12:00:00+00:00,2021-12-18 13:00:00+00:00,PM2_5,S10,1,9.175923333333332,11.182249615384647
2021-12-18 13:00:00+00:00,2021-12-18 14:00:00+00:00,PM2_5,S10,1,9.541416666666668,11.37202587801091
2021-12-18 14:00:00+00:00,2021-12-18 15:00:00+00:00,PM2_5,S10,1,15.189816666666667,12.922495147630185
2021-12-18 15:00:00+00:00,2021-12-18 16:00:00+00:00,PM2_5,S10,1,15.93716666666667,15.248328791763836
2021-12-18 16:00:00+00:00,2021-12-18 17:00:00+00:00,PM2_5,S10,1,17.09325,16.6965688500389
2021-12-18 17:00:00+00:00,2021-12-18 18:00:00+00:00,PM2_5,S10,1,19.31945,16.91436240870246
2021-12-18 18:00:00+00:00,2021-12-18 19:00:00+00:00,PM2_5,S10,1,16.360583333333334,16.686891398601446
2021-12-18 19:00:00+00:00,2021-12-18 20:00:00+00:00,PM2_5,S10,1,14.176316666666663,15.14305568764573
2021-12-18 20:00:00+00:00,2021-12-18 21:00:00+00:00,PM2_5,S10,1,12.98135,13.646479397824436
2021-12-18 21:00:00+00:00,2021-12-18 22:00:00+00:00,PM2_5,S10,1,10.50927,11.618991484071515
2021-12-18 22:00:00+00:00,2021-12-18 23:00:00+00:00,PM2_5,S10,1,12.243783333333331,9.509154945609971
2021-12-18 23:00:00+00:00,2021-12-19 00:00:00+00:00,PM2_5,S10,1,7.035053333333333,7.971101829836852
2021-12-19 00:00:00+00:00,2021-12-19 01:00:00+00:00,PM2_5,S10,1,6.638095,6.462576938616956
2021-12-19 01:00:00+00:00,2021-12-19 02:00:00+00:00,PM2_5,S10,1,4.103703333333333,5.077039848484862
2021-12-19 02:00:00+00:00,2021-12-19 03:00:00+00:00,PM2_5,S10,1,3.907406666666666,4.124604887334899
2021-12-19 03:00:00+00:00,2021-12-19 04:00:00+00:00,PM2_5,S10,1,3.5824083333333334,3.406746565656575
2021-12-19 04:00:00+00:00,2021-12-19 05:00:00+00:00,PM2_5,S10,1,3.1900783333333336,3.452729106449116
2021-12-19 05:00:00+00:00,2021-12-19 06:00:00+00:00,PM2_5,S10,1,3.435053333333333,3.2444677350427438
2021-12-19 06:00:00+00:00,2021-12-19 07:00:00+00:00,PM2_5,S10,1,3.96852,3.3168875912976
2021-12-19 07:00:00+00:00,2021-12-19 08:00:00+00:00,PM2_5,S10,1,3.620631666666666,3.1408659751359833
2021-12-19 08:00:00+00:00,2021-12-19 09:00:00+00:00,PM2_5,S10,1,2.653306666666667,3.2367777661227746
2021-12-19 09:00:00+00:00,2021-12-19 10:00:00+00:00,PM2_5,S10,1,2.939815,3.5288948484848577
2021-12-19 10:00:00+00:00,2021-12-19 11:00:00+00:00,PM2_5,S10,1,3.4796316666666662,3.749387886557897
