dt_beg_utc,dt_end_utc,pollutant,sensor_id,segment_id,value_raw,value_sg
2021-12-16 09:00:00+00:00,2021-12-16 10:00:00+00:00,O3,S10,1,15.651466666666666,16.77935289821294
2021-12-16 10:00:00+00:00,2021-12-16 11:00:00+00:00,O3,S10,1,16.080883333333336,16.499919658119705
2021-12-16 11:00:00+00:00,2021-12-16 12:00:00+00:00,O3,S10,1,16.184033333333332,16.7229900543901
2021-12-16 12:00:00+00:00,2021-12-16 13:00:00+00:00,O3,S10,1,16.58308333333333,16.996342696192745
2021-12-16 13:00:00+00:00,2021-12-16 14:00:00+00:00,O3,S10,1,17.86905,19.614087257187308
2021-12-16 14:00:00+00:00,2021-12-16 15:00:00+00:00,O3,S10,1,19.7885,19.840861305361358
2021-12-16 15:00:00+00:00,2021-12-16 16:00:00+00:00,O3,S10,1,21.07303333333333,21.798975796425854
2021-12-16 16:00:00+00:00,2021-12-16 17:00:00+00:00,O3,S10,1,20.836966666666665,21.51656418026424
2021-12-16 17:00:00+00:00,2021-12-16 18:00:00+00:00,O3,S10,1,20.37953333333333,20.787154390054447
2021-12-16 18:00:00+00:00,2021-12-16 19:00:00+00:00,O3,S10,1,19.82616666666667,20.62776095571101
2021-12-16 19:00:00+00:00,2021-12-16 20:00:00+00:00,O3,S10,1,19.27585,20.07606398601404
2021-12-16 20:00:00+00:00,2021-12-16 21:00:00+00:00,O3,S10,1,20.21975,21.07950707070713
2021-12-16 21:00:00+00:00,2021-12-16 22:00:00+00:00,O3,S10,1,20.078216666666663,19.898796542346595
2021-12-16 22:00:00+00:00,2021-12-16 23:00:00+00:00,O3,S10,1,18.28848333333333,19.502450777000828
2021-12-16 23:00:00+00:00,2021-12-17 00:00:00+00:00,O3,S10,1,18.516566666666662,18.19602839937845
2021-12-17 00:00:00+00:00,2021-12-17 01:00:00+00:00,O3,S10,1,17.3169,17.9773320512821
2021-12-17 01:00:00+00:00,2021-12-17 02:00:00+00:00,O3,S10,1,16.65345,17.290904374514422
2021-12-17 02:00:00+00:00,2021-12-17 03:00:00+00:00,O3,S10,1,17.177699999999998,17.30399291375296
2021-12-17 03:00:00+00:00,2021-12-17 04:00:00+00:00,O3,S10,1,14.878616666666668,15.19752676767681
2021-12-17 04:00:00+00:00,2021-12-17 05:00:00+00:00,O3,S10,1,14.051683333333331,14.186127505827546
2021-12-17 05:00:00+00:00,2021-12-17 06:00:00+00:00,O3,S10,1,14.875433333333334,15.648172463092507
2021-12-17 06:00:00+00:00,2021-12-17 07:00:00+00:00,O3,S10,1,15.093583333333337,15.686250551670595
2021-12-17 07:00:00+00:00,2021-12-17 08:00:00+00:00,O3,S10,1,15.647466666666666,16.53216989898995
2021-12-17 08:00:00+00:00,2021-12-17 09:00:00+00:00,O3,S10,1,15.9523,16.125826068376114
2021-12-17 09:00:00+00:00,2021-12-17 10:00:00+00:00,O3,S10,1,17.56356666666667,17.859758275058326
2021-12-17 10:00:00+00:00,2021-12-17 11:00:00+00:00,O3,S10,1,19.789133333333336,20.55859316239322
2021-12-17 11:00:00+00:00,2021-12-17 12:00:00+00:00,O3,S10,1,22.274483333333336,21.917061616161675
2021-12-17 12:00:00+00:00,2021-12-17 13:00:00+00:00,O3,S10,1,22.6044,23.994825524475594
2021-12-17 13:00:00+00:00,2021-12-17 14:00:00+00:00,O3,S10,1,23.628566666666668,24.198709246309313
2021-12-17 14:00:00+00:00,2021-12-17 15:00:00+00:00,O3,S10,1,23.34323333333333,24.470850427350495
2021-12-17 15:00:00+00:00,2021-12-17 16:00:00+00:00,O3,S10,1,23.514866666666663,24.287601476301543
2021-12-17 16:00:00+00:00,2021-12-17 17:00:00+00:00,O3,S10,1,23.24783333333333,24.148878049728115
2021-12-17 17:00:00+00:00,2021-12-17 18:00:00+00:00,O3,S10,1,23.066150000000004,23.957441919191986
2021-12-17 18:00:00+00:00,2021-12-17 19:00:00+00:00,O3,S10,1,23.4489,23.78872354312361
2021-12-17 19:00:00+00:00,2021-12-17 20:00:00+00:00,O3,S10,1,23.00881666666667,23.774412432012497
2021-12-17 20:00:00+00:00,2021-12-17 21:00:00+00:00,O3,S10,1,22.190916666666663,23.236336868686934
2021-12-17 21:00:00+00:00,2021-12-17 22:00:00+00:00,O3,S10,1,21.804683333333333,22.521121911421975
2021-12-17 22:00:00+00:00,2021-12-17 23:00:00+00:00,O3,S10,1,21.74575,22.299007653457714
2021-12-17 23:00:00+00:00,2021-12-18 00:00:00+00:00,O3,S10,1,18.98495,20.720107964258027
2021-12-18 00:00:00+00:00,2021-12-18 01:00:00+00:00,O3,S10,1,18.077766666666665,18.68527878787884
2021-12-18 01:00:00+00:00,2021-12-18 02:00:00+00:00,O3,S10,1,17.14775,17.388528166278213
2021-12-18 02:00:00+00:00,2021-12-18 03:00:00+00:00,O3,S10,1,17.16065,17.274052237762287
2021-12-18 03:00:00+00:00,2021-12-18 04:00:00+00:00,O3,S10,1,15.421816666666668,15.949519564879608
2021-12-18 04:00:00+00:00,2021-12-18 05:00:00+00:00,O3,S10,1,14.845349999999998,15.12300868686873
2021-12-18 05:00:00+00:00,2021-12-18 06:00:00+00:00,O3,S10,1,14.224883333333336,14.815955361305404
