pollutant,sensor_id,segment_id,total_power,low_power_0_1_cpd,mid_power_1_4_cpd,high_power_4_12_cpd,low_power_ratio,mid_power_ratio,high_power_ratio,dominant_frequency_cpd
NO2,S10,1,469.28674583323425,289.11442433393535,155.26608176901377,0.9280011980970984,0.616072000543299,0.3308554591571379,0.0019774715700725818,0.09375
NO2,S10,2,3422.995281814203,1553.9536272197427,1126.8294979039879,5.272942557286459,0.45397480840117904,0.32919399681636813,0.0015404469253290282,1.03125
NO2,S10,3,81.35073887966621,45.69554336845204,30.04068075877227,0.40385440490306407,0.5617102437882557,0.3692736067610691,0.004964360624928612,1.96875
NO2,S12,1,488.9048693739673,303.6040230406167,159.24733373839132,0.9494055941642056,0.6209879304932583,0.3257225356382813,0.0019419025124047138,0.09375
NO2,S12,2,2831.1775081616515,1584.3059037639605,743.6612911127661,3.448521431996478,0.559592572064719,0.26266855008877293,0.001218052002057505,1.03125
NO2,S12,3,99.15694017530673,55.53107419551627,37.2707700968953,0.44533224666110577,0.5600321480003201,0.3758765652812764,0.004491185850166117,0.28125
NO2,S14,1,298.82955322694,193.60162933945125,91.99442108647476,0.5276210658049442,0.6478664082880198,0.30784914039814354,0.0017656254547362426,0.09375
NO2,S14,2,1372.9961965727675,604.137146501806,446.07730101713554,2.147201037306539,0.44001370725558836,0.3248933260926873,0.0015638798145736447,1.03125
NO2,S14,3,83.96541523973274,46.64791724274106,31.432654727370736,0.40947227992646285,0.5555610855916675,0.3743524001831732,0.004876677841196444,0.28125
NO2,S5,1,427.92720121007613,265.6689733425583,139.65088280864677,0.7658759512942928,0.6208274972736244,0.32634261718756685,0.001789734209764133,0.09375
NO2,S5,2,1615.1761216770537,853.1228029367436,498.9596572069991,3.2898461647351964,0.5281918123275234,0.30891965929320714,0.0020368343244941706,1.03125
NO2,S5,3,108.68407089452347,64.23479725203029,39.16207308487515,0.5718229304337241,0.5910231069129657,0.36032946468191696,0.005261331543135434,0.28125
